prior,Indiv,Z,hybrid_class,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,mean_posterior_probability,sd_posterior_probability,cv_posterior_probability
uniform,COPE_0484.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0484.fp2.repr,z1,F2,1e-5,0,0,0,0,0,0,0,5e-5,0,6e-6,1.577621275493231e-5,2.629368792488718
uniform,COPE_0484.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0484.fp2.repr,z1,b_bx,3.7e-4,6e-5,5e-5,1.3e-4,0,0,6e-5,1e-5,8.1e-4,0,1.49e-4,2.577013775671368e-4,1.7295394467593073
Jeffreys,COPE_0485.fp2.repr,z0,pure_a,0.99999,1,1,1,1,1,1,0.99704,1,1,0.999703,9.356881009301139e-4,9.359660828567223e-4
Jeffreys,COPE_0485.fp2.repr,z0,pure_b,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0485.fp2.repr,z0,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0485.fp2.repr,z0,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0485.fp2.repr,z0,a_bx,1e-5,0,0,0,0,0,0,0.00296,0,0,2.97e-4,9.356881009301241e-4,3.150464986296714
Jeffreys,COPE_0485.fp2.repr,z0,b_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0485.fp2.repr,z0,pure_a,1,0.99997,0.99999,1,1,1,1,1,1,1,0.999996,9.66091783078219e-6,9.660956474608089e-6
uniform,COPE_0485.fp2.repr,z0,pure_b,0,0,0,0,0,0,0,0,0,0,0,0,NaN
